172.19.0.1 - - [30/Mar/2025:22:13:17 +0000] "GET / HTTP/1.1" 404 19 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; ru-RU) WindowsPowerShell/5.1.22621.4391" "-"
172.19.0.1 - - [30/Mar/2025:22:15:50 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:50 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:50 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:51 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:15:51 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:25 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:26 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:26 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:25:26 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:25:26 +0000] "GET / HTTP/1.1" 404 19 "-" "curl/8.12.1" "-" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:36:12 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:36:13 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:37:55 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:37:55 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:40:30 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:40:30 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:41:07 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:22:41:07 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:22:58:22 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [30/Mar/2025:22:58:23 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [30/Mar/2025:23:14:12 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [30/Mar/2025:23:14:12 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [30/Mar/2025:23:16:35 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [30/Mar/2025:23:16:36 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:00:13:29 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:00:13:29 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [31/Mar/2025:00:23:44 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [31/Mar/2025:00:23:44 +0000] "GET /api/v1/account HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:00:26:13 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 1742 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.7:8080"
172.19.0.1 - - [31/Mar/2025:00:26:22 +0000] "GET /api/v1/projects/ HTTP/1.1" 401 0 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:06:47 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:06:47 +0000] "GET /api/v1/account HTTP/1.1" 200 137 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:06:49 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:06:51 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:19 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:08:19 +0000] "GET /api/v1/account HTTP/1.1" 200 137 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:20 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:08:21 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:24 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 1742 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:08:27 +0000] "GET /api/v1/meetings?from=2025-03-31T00:00:00.000Z HTTP/1.1" 200 16 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:30 +0000] "GET /api/v1/projects/12 HTTP/1.1" 200 337 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:08:31 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:36 +0000] "GET /api/v1/projects/12/statistics HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:08:41 +0000] "GET /api/v1/projects/12/commits?from=2025-03-01T00:00:00.000Z HTTP/1.1" 200 172 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:44 +0000] "GET /api/v1/projects/12/tasks HTTP/1.1" 200 13 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:08:47 +0000] "GET /api/v1/students HTTP/1.1" 200 388 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:08:50 +0000] "GET /api/v1/students HTTP/1.1" 200 388 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:09:05 +0000] "POST /api/v1/projects/add HTTP/1.1" 200 18 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:09:06 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:09:09 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 1903 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:09:13 +0000] "GET /api/v1/projects/13 HTTP/1.1" 200 339 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:09:13 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:09:47 +0000] "POST /api/v1/meetings/add HTTP/1.1" 200 17 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:09:48 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:09:51 +0000] "GET /api/v1/meetings?from=2025-03-31T00:00:00.000Z HTTP/1.1" 200 293 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:09:57 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 1903 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:10:00 +0000] "GET /api/v1/projects/13 HTTP/1.1" 200 339 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:10:00 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:10:34 +0000] "POST /api/v1/projects/13/tasks/add HTTP/1.1" 200 14 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:10:40 +0000] "GET /api/v1/projects/13/tasks HTTP/1.1" 200 231 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:10:46 +0000] "GET /api/v1/projects/13/statistics HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:11:00 +0000] "GET /api/v1/meetings?from=2025-03-31T00:00:00.000Z HTTP/1.1" 200 293 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:11:01 +0000] "GET /api/v1/students HTTP/1.1" 200 388 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:11:17 +0000] "GET /api/v1/universities/1/edprogrammes/ HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:11:19 +0000] "GET /api/v1/universities/1/edprogrammes/ HTTP/1.1" 200 95 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:11:19 +0000] "POST /api/v1/students/add HTTP/1.1" 200 18 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:11:20 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:11:22 +0000] "GET /api/v1/students HTTP/1.1" 200 575 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:11:25 +0000] "GET /api/v1/students HTTP/1.1" 200 575 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:20:17 +0000] "POST /api/v1/projects/add HTTP/1.1" 200 18 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:20:18 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:21:31 +0000] "POST /api/v1/auth/bot/signinuser HTTP/1.1" 200 116 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:21:31 +0000] "GET /api/v1/account HTTP/1.1" 200 137 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:21:32 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:21:32 +0000] "GET /api/v1/account/integrations HTTP/1.1" 200 318 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:21:35 +0000] "GET /api/v1/projects/ HTTP/1.1" 200 2074 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
172.19.0.1 - - [31/Mar/2025:01:21:41 +0000] "GET /api/v1/meetings?from=2025-03-31T00:00:00.000Z HTTP/1.1" 200 293 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.5:8080"
172.19.0.1 - - [31/Mar/2025:01:21:44 +0000] "GET /api/v1/students HTTP/1.1" 200 582 "-" "python-requests/2.32.3" "78.85.214.5, 127.0.0.1, 127.0.0.1" "172.19.0.6:8080"
